,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1603,1603,Market Research Content Writer/Editor,0.0,Industry Experts,0,100000,Hyderabad/Secunderabad,"('English Writing', 'secondary research', 'data interpretation', 'word', 'English Language', 'data analysis', 'Market Forecasting', 'Analytical Skills')",14 Days,0
1604,1604,"Hiring MBA Freshers - Real Estate Digital Account Manager 
",3.3,3DM Agency,8,200000,"Hyderabad/ Secunderabad, Telangana","('Presentation Skills', 'Flexible', 'Adaptability', 'Strong Communication Skills', 'Interpersonal Skills', 'Presentation', 'Digital', 'Interpersonal')",14 Days,0
1605,1605,Office Assistant - Female - Paldi / Bodakdev / Satellite - Ahmedabad,0.0,Prime Placement And Manpower Services,0,100000,"Ahmedabad(Jaspur +151), Paldi, Satellite","('Back Office Executive', 'prime', 'Ahmedabad', 'Email Drafting', 'marketing coordinator', 'office assistant', 'Ambawadi', 'sales admin')",5 Days,0
1606,1606,MIS Executive,3.5,Puthur Infotech,114,0,Bangalore/Bengaluru,"('MIS', 'Report Generation', 'Data Distribution', 'Data Analysis', 'Reporting Tools', 'MIS Executive', 'Reporting', 'Generation')",3 Days,1
1607,1607,Software Engineer - Junior,0.0,Gentrack Software,0,0,Pune,"('Data analysis', 'Analytical', 'Process improvement', 'Billing', 'System design', 'Customer service', 'Principal', 'SDLC')",30+ Days,0
1608,1608,Junior Technical Engineer,4.0,Dhvani Research And Development,7,0,Chennai,"('C++', 'Data analysis', 'Mechatronics', 'Coding', 'Mechanical', 'Electronics', 'Instrumentation', 'WPF')",30+ Days,0
1609,1609,Junior Quant Researcher,5.0,Squarepoint Technologies India,2,0,Remote,"('Data analysis', 'Operations research', 'Financial markets', 'Programming', 'Investment management', 'Econometrics', 'Python', 'Financial engineering')",30+ Days,0
1610,1610,Sr. Associate-People Tech and Analytics,3.3,Zeta Inc.,167,0,Bangalore/Bengaluru,"('Loans', 'Data analysis', 'Process optimization', 'Excel', 'Data management', 'Talent acquisition', 'Analytics', 'Recruitment')",8 Days,1
1611,1611,Sr. Process Associate - Opportunity To Cash,4.2,Siemens,3777,0,Bangalore/Bengaluru,"('Data analysis', 'Publishing', 'Excel', 'Business analysis', 'Analytical', 'Process re-engineering', 'Scheduling', 'Data quality')",14 Days,1
1612,1612,Workplace Services Specialist - Senior Associate,3.7,PwC,5806,0,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru","('Administration', 'Financial statements', 'Leadership development', 'Managed services', 'Flex', 'Management', 'microsoft', 'Application software')",15 Days,1
